region,name,address,lat,lng
広島,医療法人　三和会　おおうち病院,広島市中区大手町３丁目７－１１,34.3876220000242,132.454429999952
広島,松田病院,広島市南区翠４丁目１３－７,34.3682909999356,132.473317999813
広島,真田病院,広島市南区皆実町３丁目１３－２１,34.3748459998593,132.465318000126
広島,医療法人　土本病院,広島市中区橋本町４－７,34.3951769996589,132.469039000176
広島,塩田病院,広島市南区堀越１丁目７－３６,34.3744849999361,132.51273100012
広島,医療法人社団生和会　たかの橋中央病院,広島市中区国泰寺町２丁目４－１６,,
広島,医療法人三渓会　川堀病院,広島市南区松川町３－８,34.3902329997354,132.471845000012
広島,広島第一病院,広島市東区戸坂南２丁目９－１５,34.4230219997532,132.49328300011
広島,槙坪病院,広島市東区光町１丁目１４－２,34.3988709997297,132.480120999908
広島,山本整形外科病院,広島市南区青崎２丁目４－２０,34.3744579999485,132.507509000108
広島,医療法人　せのがわ　瀬野川病院,広島市安芸区中野東４丁目１１－１３,34.3969569998328,132.578226000113
広島,医療法人ワカサ会　ワカサ・リハビリ病院,広島市東区東山町１５－１,34.3967049999295,132.493092999897
広島,山﨑病院,広島市東区上温品１丁目２４－９,,
広島,太田川病院,広島市東区戸坂千足１丁目２１－２５,34.436836999918,132.483977000063
広島,医療法人恒和会　松石病院,広島市安芸区船越南３丁目２３－３,34.370292,132.524591000184
広島,広島シーサイド病院,広島市南区元宇品町２６－２０,34.3485709997791,132.459042000048
広島,広島厚生病院,広島市南区仁保新町１－５－１３,34.3776789998169,132.49053800017
広島,比治山病院,広島市南区上東雲町３－１,34.3864559999021,132.485148999978
広島,医療法人社団まりも会　ヒロシマ平松病院,広島市南区比治山本町１１番２７号,34.3798919996913,132.471227000162
広島,医療法人社団おると会　浜脇整形外科病院,広島市中区大手町４丁目６番６号,34.3851220000313,132.453068999964
広島,一ノ瀬病院,広島市中区国泰寺町１－５－１１,34.386122000047,132.456012999892
広島,林病院,広島市中区三川町３番８号,34.3908909998985,132.461670000012
広島,医療法人　新でしお病院,広島市南区出汐一丁目３番９号,34.3801229997358,132.476039000168
広島,翠清会梶川病院,広島市中区東千田町一丁目１番２３号,34.3822050000284,132.459329000022
広島,広島中央リハビリテーション病院,広島市中区平野町６－２４,34.3802369999415,132.462560000132
広島,医療法人社団生和会　広島はくしま病院,広島市中区東白島町１９番１６号,34.4030369998717,132.464566999918
広島,瀬野記念病院,広島市安芸区瀬野４丁目１６４１番地１,,
広島,医療法人社団玉章会　力田病院,広島市西区鈴が峰町１４－２０,34.3821219999293,132.397129000054
広島,医療法人社団　光仁会　梶川病院,広島市西区天満町８－７,34.3964259997825,132.440485999974
広島,医療法人社団　正岡産婦人科病院,広島市中区猫屋町４－６,,
広島,医療法人社団曙会　シムラ病院,広島市中区舟入町３－１３,34.3918249999486,132.444035000092
広島,頼島産婦人科病院,広島市安佐南区西原５丁目１１－１８,34.4420329999068,132.468147999946
広島,高陽中央病院,広島市安佐北区落合５丁目１－１０,34.4803349999144,132.512587000074
広島,医療法人社団　加川整形外科病院,広島市西区古江西町２２－１０,34.3843499998537,132.406336000038
広島,医療法人社団　慈恵会　いまだ病院,広島市西区三篠町１丁目５－１,34.4117529998962,132.453041999935
広島,長久堂野村病院,広島市安佐北区可部南４－１７－３０,34.4389779998988,132.465203999972
広島,医療法人社団共愛会　己斐ケ丘病院,広島市西区己斐上６丁目５５４－１,34.42725599975,132.42615200006
広島,日比野病院,広島市安佐南区伴東７丁目９番２号,34.4643609997333,132.421105999993
広島,野村病院,広島市安佐南区祇園２丁目４２－１４,34.4389779998988,132.465203999972
広島,医療法人社団うすい会　高陽ニュータウン病院,広島市安佐北区亀崎４丁目７－１,34.4821809997496,132.525858000089
広島,養神館病院,広島市佐伯区五日市１丁目１２－６,34.3660109997351,132.357633000278
広島,医療法人社団　一陽会　原田病院,広島市佐伯区海老山町７－１０,34.3640599997582,132.364351000192
